user,leads,conversion_rate,conversion_rate_pct
12730.0,251,0.16334661354581673,16.334661354581673
11964.0,2475,0.06707070707070707,6.707070707070708
11264.0,4299,0.06350314026517795,6.350314026517795
11741.0,3973,0.05789076264787314,5.789076264787314
13677.0,2827,0.05695083126989742,5.695083126989742
13843.0,4117,0.051008015545299976,5.100801554529998
13652.0,5253,0.05044736341138397,5.044736341138397
13621.0,6116,0.0487246566383257,4.87246566383257
12829.0,3510,0.0452991452991453,4.52991452991453
13444.0,8192,0.0430908203125,4.30908203125
13216.0,5250,0.04038095238095238,4.038095238095238
13828.0,209,0.03827751196172249,3.827751196172249
13505.0,3990,0.03508771929824561,3.508771929824561
11302.0,5511,0.031028851388132824,3.1028851388132823
12413.0,1807,0.029883785279468732,2.9883785279468733
13125.0,4374,0.029492455418381344,2.9492455418381343
13594.0,3690,0.027371273712737128,2.7371273712737128
13987.0,3799,0.026849170834430114,2.684917083443011
13402.0,3640,0.023626373626373626,2.3626373626373627
13842.0,3916,0.021961184882533197,2.19611848825332
13276.0,7040,0.021164772727272727,2.1164772727272725
13986.0,3693,0.020037909558624424,2.0037909558624425
14144.0,4518,0.017264276228419653,1.7264276228419653
13597.0,4362,0.016735442457588262,1.6735442457588263
13507.0,4014,0.01569506726457399,1.5695067264573992
13416.0,3958,0.015159171298635674,1.5159171298635674
14146.0,270,0.014814814814814815,1.4814814814814816
14189.0,1067,0.014058106841611996,1.4058106841611997
14017.0,9623,0.013717136028265613,1.3717136028265613
9090.0,6400,0.01359375,1.359375
14019.0,10909,0.013200110000916674,1.3200110000916674
14190.0,1015,0.01083743842364532,1.083743842364532
,548,0.009124087591240875,0.9124087591240875
14128.0,7926,0.0074438556649003285,0.7443855664900328
14191.0,858,0.005827505827505828,0.5827505827505828
14021.0,3107,0.00482780817508851,0.482780817508851
14198.0,1066,0.00375234521575985,0.37523452157598497
14196.0,879,0.0034129692832764505,0.3412969283276451
14145.0,3162,0.0031625553447185324,0.31625553447185323
14197.0,1043,0.0019175455417066154,0.19175455417066153
14195.0,1223,0.001635322976287817,0.1635322976287817
14199.0,2023,0.0009886307464162135,0.09886307464162135
14018.0,2836,0.0007052186177715092,0.07052186177715092
14020.0,787,0.0,0.0
