lead_source,user,leads,coefficient
CHOOSE N SWITCH,13416.0,3958,2.302307238937872
CHOOSE N SWITCH,14017.0,9623,1.8698557983074884
CHOOSE N SWITCH,13505.0,3990,1.5688260196713493
Data4U October,14021.0,3107,1.9157922269575984
Data4U October,13828.0,209,-0.002269637142587009
Data4U October,13843.0,4117,-0.00547864829823066
Energy Deal Sales,14018.0,2836,3.9860709166879236
Energy Deal Sales,12413.0,1807,2.2990385397145534
Energy Deal Sales,13416.0,3958,2.1484755902356882
Google Adwords,13842.0,3916,1.3326774548151055
Google Adwords,11264.0,4299,1.2692554606959676
Google Adwords,12829.0,3510,1.2494085786909288
Right Health Insurance,13276.0,7040,2.2682005419977633
Right Health Insurance,14017.0,9623,1.934860376532595
Right Health Insurance,11264.0,4299,1.6238580960356417
SEO_HOMEPAGE_NEW,13843.0,4117,1.63859918118249
SEO_HOMEPAGE_NEW,9090.0,6400,1.4634419930938707
SEO_HOMEPAGE_NEW,13125.0,4374,1.2400233784782209
Tedirex,14197.0,1043,2.2862960638049765
Tedirex,14128.0,7926,1.819840672864476
Tedirex,14196.0,879,1.6998402414616067
comparingexpert.com.au,12829.0,3510,2.8381309488702264
comparingexpert.com.au,14019.0,10909,2.4568199082268682
comparingexpert.com.au,9090.0,6400,0.6667319531055946
organic,12413.0,1807,1.656186999786854
organic,13594.0,3690,1.4652637121340588
organic,13621.0,6116,1.1283989711918037
oursmartquotes.com.au,13828.0,209,1.816462829510517
oursmartquotes.com.au,14189.0,1067,1.7830778899329012
oursmartquotes.com.au,14190.0,1015,1.7412969806076257
